Most Ordered	Iced Daydream Latte	$7.15
Most Ordered	Iced Strawberry Shortcake Matcha	$7.85
Most Ordered	Iced Blondie Latte	$7.45
Most Ordered	Iced Latte	$6.15
Most Ordered	Iced Blondie Matcha	$8.15
Most Ordered	Iced Matcha Latte	$6.85
Most Ordered	Iced Strawberries & Cream Latte	$7.15
Most Ordered	Iced Daydream Matcha	$7.85
Most Ordered	Iced Blueberry Matcha	$7.85
Most Ordered	Original Cold Brew	$5.75
Cold Espresso Drinks	Iced Americano	$4.85
Cold Espresso Drinks	Iced Blondie Latte	$7.45
Cold Espresso Drinks	Iced Cortado	$5.65
Cold Espresso Drinks	Iced Daydream Latte	$7.15
Cold Espresso Drinks	Iced Latte	$6.15
Cold Espresso Drinks	Iced Mocha	$6.85
Cold Espresso Drinks	Iced Pistachio Latte	$7.15
Cold Espresso Drinks	Iced Strawberries & Cream Latte	$7.15
Cold Non-Espresso	Iced Blondie Matcha	$8.15
Cold Non-Espresso	Iced Blueberry Matcha	$7.85
Cold Non-Espresso	Iced Chocolate	$5.65
Cold Non-Espresso	Iced Daydream Matcha	$7.85
Cold Non-Espresso	Iced Earl Grey Matcha	$8.15
Cold Non-Espresso	Iced Flavored Milks	$5.65
Cold Non-Espresso	Iced Matcha Latte	$6.85
Cold Non-Espresso	Iced Matcha Tea	$5.95
Cold Non-Espresso	Iced Strawberry Shortcake Matcha	$7.85
Cold Quick Serve	Cold Brew Latte	$7.05
Cold Quick Serve	Mocha Cold Brew Latte	$7.45
Cold Quick Serve	Original Cold Brew	$5.75
Cold Teas & Drinks	Classic Iced Tea	$4.25
Grab N' Go Drinks	Grapefruit Sparkling Water - Spindrift (vg)	$3.15
Grab N' Go Drinks	Lemon Limeade Sparkling Water - Spindrift (vg)	$3.15
Grab N' Go Drinks	Natalie's Orange Juice	$6.25
Grab N' Go Drinks	Still Saratoga Water	$3.75
Hot Espresso Drinks	Americano	$4.25
Hot Espresso Drinks	Blondie Latte	$6.85
Hot Espresso Drinks	Cappuccino	$5.45
Hot Espresso Drinks	Cortado	$4.95
Hot Espresso Drinks	Daydream Latte	$6.45
Hot Espresso Drinks	Double Espresso	$3.75
Hot Espresso Drinks	Flat White	$5.45
Hot Espresso Drinks	Latte	$5.45
Hot Espresso Drinks	Macchiato	$4.75
Hot Espresso Drinks	Mocha	$6.25
Hot Espresso Drinks	Pistachio Latte	$6.45
Hot Espresso Drinks	Strawberries & Cream Latte	$6.45
Hot Non-Espresso	Blondie Matcha	$7.45
Hot Non-Espresso	Blueberry Matcha	$7.25
Hot Non-Espresso	Daydream Matcha	$7.25
Hot Non-Espresso	Earl Grey Matcha	$7.45
Hot Non-Espresso	Flavored Milks	$4.95
Hot Non-Espresso	Hot Chocolate	$4.95
Hot Non-Espresso	Matcha Latte	$6.25
Hot Non-Espresso	Strawberry Shortcake Matcha	$7.25
Hot Quick Serve	Hot Brew	$3.55
Hot Teas & Drinks	Chamomile Tea	$3.75
Hot Teas & Drinks	Earl Grey Tea	$3.75
Hot Teas & Drinks	English Breakfast Tea	$3.75
Hot Teas & Drinks	Matcha Tea	$5.35
Pastry & Baked Goods	Almond Croissant	$6.65
Pastry & Baked Goods	Chocolate Chip Cookie	$5.25
Pastry & Baked Goods	Chocolate Croissant	$6.65
Pastry & Baked Goods	Ham & Cheese Croissant	$8.15
Pastry & Baked Goods	Plain Croissant	$5.65
Retail	Ceremonial Matcha Powder	$40.05
Retail	Darker Roast	$21.95
Retail	Decaf	$21.95
Retail	Green Tumbler	$37.55
Retail	Lighter Roast	$21.95
